step,count_#9_X=Rock,count_#9_X=Paper,count_#9_X=Scissors
0.0,1123,1340,755
0.2,1095,1320,727
0.4,1066,1300,711
0.6000000000000001,1039,1287,698
0.8,1020,1267,692
1.0,994,1242,676
1.2000000000000002,979,1214,658
1.4000000000000001,947,1194,648
1.6,930,1186,632
1.8,911,1169,623
2.0,897,1151,616
2.2,879,1132,609
2.4000000000000004,859,1118,604
2.6,835,1104,600
2.8000000000000003,823,1089,595
3.0,811,1078,586
3.2,793,1067,581
3.4000000000000004,777,1050,576
3.6,759,1040,570
3.8000000000000003,744,1026,566
4.0,727,1016,559
4.2,715,1002,556
4.4,709,990,551
4.6000000000000005,698,984,545
4.800000000000001,690,977,538
5.0,674,970,534
5.2,660,960,530
5.4,649,953,529
5.6000000000000005,641,948,523
5.800000000000001,631,939,521
6.0,625,929,519
6.2,616,922,516
6.4,602,910,513
6.6000000000000005,596,904,508
6.800000000000001,592,896,504
7.0,587,890,503
7.2,582,884,496
7.4,574,878,495
7.6000000000000005,563,875,491
7.800000000000001,557,871,487
8.0,550,866,485
8.200000000000001,546,863,479
8.4,533,850,477
8.6,529,845,474
8.8,527,837,472
9.0,515,831,472
9.200000000000001,505,826,472
9.4,499,819,470
9.600000000000001,493,814,468
9.8,486,810,464
10.0,484,805,462
